7:50 | (Member (1 month)) ThatVidyaGuy: :_listener:
7:52 | (Member (1 month)) Margrave: The family grows.:_sprdo:
7:53 | bejad007: she is cuter than usual today
7:55 | (Member (1 month)) Cave Johnson: The cult grows
7:59 | (Member (1 month)) Robbie TR: Ask for < Dad’s without Twitter 
8:10 | (Member (1 month)) The Pope: :_listener:
8:17 | (New member) Suukotto Funsha: I just don't have twitter
8:21 | (New member) RussianAnimeBot: welcome new seed chad
8:29 | (New member) XenMaster220: More dads more fun
8:30 | (Member (1 month)) Raziel: @Cave Johnson It's not a cult, it's a family. That's what I tell myself anyway
8:37 | (New member) CLOSJ9: Based
8:50 | (New member) RussianAnimeBot: oh no
8:55 | (Member (1 month)) Zeng: a family can be one bear and 3000 dads
8:56 | Nue Houjuu: lewd
9:07 | (New member) TheTarkus: :_yah:
9:07 | Sheep: kek
9:07 | (Member (1 month)) The Flesh Is Weak: community tab reps..
9:09 | (Member (1 month)) Moeniki: :_yah:
9:10 | (Member (1 month)) LapanNaxela: tfw cringe
9:13 | (New member) Ark K.: your hand reps
9:16 | (New member) Yamoyashi: did you check the new ones today?
9:20 | (Member (1 month)) The Pope: I don't know any cute lines...
9:23 | (Member (1 month)) Transcendental_ColonThree: Someday I will not get shy and actually respond :_listener:
9:24 | SpaceTalon: withouttwitter bros
9:30 | bejad007: yah!
9:37 | (Member (1 month)) Mister Eko: :_kita::_kita::_kita::_kita:
9:42 | (New member) Ark K.: :_kita:
9:45 | (Member (1 month)) Zhnigo: the future is bright...
9:46 | (New member) No Body: !!?
9:47 | (Member (1 month)) Einaer: :_uooooohh::_uooooohh::_uooooohh:
9:47 | (Member (1 month)) Moeniki: handreps stream IKZ
9:47 | (Member (1 month)) Canna: :_listener:
9:50 | Cringe Broker: uuuooooooooo
9:51 | stuffed idiot: UOOOOHHHH
9:52 | (Member (1 month)) Stray Wolf: :_yab:
9:52 | (New member) Luginov: :_yah:
9:53 | (Member (1 month)) Mister Eko: >tabun
9:53 | (Member (1 month)) Mew: Nier: Futur3
9:54 | Andrew Ryan: degenelate
9:54 | (Member (1 month)) max r: please wait for hand reps
9:54 | (New member) Herbie Cucumber: :_uooooohh:
9:54 | kurokamitenshi: that all caps one you couldnt finish
9:55 | (Member (1 month)) Tachi: :_listener:
9:56 | Question Box: can't wait!!!!!
9:59 | SpaceTalon: u-uuuohhhh?
9:59 | (New member) WizJR W: UOOOOOOOOOH
9:59 | (Member (1 month)) Raziel: I don't think anything would surprise me
10:00 | (New member) XenMaster220: :_uooooohh:!?
10:03 | madvideogamer: uoooooohhhh beatani uuuuooooooooohhhh
10:03 | (Member (1 month)) anonEDM: :_uooooohh: 
10:03 | (New member) Yamoyashi: :_yab::_yab:
10:06 | (Member (1 month)) The Pope: え:_listener:
10:08 | Sheep: not even close
10:08 | (New member) No Body: let's goooo:_kita:
10:08 | (New member) Pope Boi: :_uooooohh:
10:11 | (Member (1 month)) Shippo: cooma...
10:11 | (Member (1 month)) Spicy Grandpa: Don’t say it
10:11 | (Member (1 month)) LapanNaxela: sus
10:12 | (Member (1 month)) The Flesh Is Weak: sud
10:12 | (Member (1 month)) gyroninja: That would be:_chihiro:
10:12 | TheHighestNativeGod: Ohadayo!
10:12 | (Member (1 month)) Margrave: Maybe...
10:12 | (Member (1 month)) Mew: SUS
10:12 | (Member (1 month)) Zeng: among us
10:13 | Question Box: amoungi
10:14 | (Member (1 month)) Stray Wolf: AMONGUS
10:15 | kurokamitenshi: degenelate kuma lol
10:15 | (Member (1 month)) Canna: Impossible 
10:15 | Defenestrator: false
10:16 | (New member) Ark K.: chihiro is more degenerate than you.
10:17 | (New member) Yamoyashi: :_handreps::_yab:
10:17 | (Member (1 month)) Mister Eko: vanilla bros...
10:18 | (New member) Vitz: doubt it
10:18 | (New member) Vic Kyorlo: sus
10:18 | (Member (1 month)) Andrew: sus'
10:19 | Nue Houjuu: AMOGUS
10:19 | (New member) CLOSJ9: :_sprdo:
10:19 | (Member (1 month)) Ekusupuroshon: AMOGUS
10:20 | (New member) Herbie Cucumber: challenge accepted
10:20 | (Member (1 month)) Kyle: Bold of you to assume that.
10:20 | (Member (1 month)) Stray Wolf: SUS
10:20 | Rybek: not amongus
10:20 | (Member (1 month)) Einaer: amogus
10:21 | (Member (1 month)) Moeniki: kono mesugaki
10:21 | (New member) Lạc Lạc: You wish
10:22 | Ben Turner: am...amo....
10:22 | (Member (1 month)) LassesAffar: ＡＭＯＮＧ　ＵＳ？
10:23 | madvideogamer: sugoi................................
10:23 | GoslingDad: yeah, that is unlikely hehe.
10:24 | (Member (1 month)) Tachi: We already know
10:24 | bejad007: are you challenging us??
10:26 | (New member) XenMaster220: sus....
10:27 | (Member (1 month)) max r: i dont know if you should challenge the viewers on that one...
10:29 | (New member) Pine: :_chihiro:watching with great interest
10:30 | Andrew Ryan: degenelate contest with dads!!!
10:32 | (New member) No Body: nah you're tame... tabun
10:35 | (Member (1 month)) Raziel: My reps are too powerful for you, traveller
10:39 | (New member) Luginov: I believe it
10:45 | (Member (1 month)) Zhnigo: already derailed
10:45 | (New member) Autism: :_listener:
10:47 | (Member (1 month)) Margrave: I never say tell anyone my degenerate likes...for good reason. 
10:52 | Hernan: I don't think so
10:56 | (Member (1 month)) Margrave: And derailed 
10:56 | TheHighestNativeGod: off the rails
10:56 | kurokamitenshi: JP has some weird fetishes NGL
10:57 | (Member (1 month)) Tachi: :_listener:
10:57 | (Member (1 month)) Ekusupuroshon: DERAILED
10:59 | (Member (1 month)) Moeniki: gurobear is embarrassed?
10:59 | Rybek: I love Omori streams
11:02 | (New member) Tuffee: vanilla bear thinks she's more hardcore than her dads
11:06 | (Member (1 month)) ThatVidyaGuy: that was a fast derail
11:06 | (New member) Pine: degenerate LOVE
11:08 | (New member) Vitz: hand reps power level
11:10 | (Member (1 month)) Mister Eko: That's a little scary
11:11 | stuffed idiot: cute and derailed bear
11:13 | (New member) XenMaster220: :_handreps: Stream soon? Get hyped!:_kita::_kita:
11:16 | madvideogamer: majide
11:17 | (Member (1 month)) Cave Johnson: I've seen worse, go on
11:17 | (Member (1 month)) Hanabi: does it count as being derailed if it was never on the rails to begin with?
11:19 | (New member) Pope Boi: uuuoooooohhh
11:20 | Sheep: I bet it's incest
11:22 | Andrew Ryan: yab
11:22 | (Member (1 month)) Zhnigo: music a little bit too loud, no?
11:22 | (Member (1 month)) The Flesh Is Weak: being a brocon isn't too bad Bea:_sprdo:
11:24 | (Member (1 month)) The Pope: Her secret fetish is handholding :_yab:
11:28 | (New member) Suukotto Funsha: Every stream is an Omori stream
11:28 | coba cobra: oh?
11:31 | (Member (1 month)) Moeniki: Your most favorite is M right?
11:34 | (Member (1 month)) anonEDM: something more degenerate than guro hmm
11:37 | (Member (1 month)) max r: the most favorite is the one she wont tell you, dad
11:37 | (Member (1 month)) Mister Eko: handholding....
11:37 | (Member (1 month)) Tachi: More!?!?
11:38 | (Member (1 month)) Spicy Grandpa: I don’t think it gets more degenerate than guro
11:38 | (Member (1 month)) Rye Mountain: >more degenerate than guro
11:39 | stuffed idiot: oh no
11:39 | (Member (1 month)) Rye Mountain: my god
11:40 | (New member) Herbie Cucumber: ?!
11:40 | (New member) A A: What is it?
11:44 | (New member) Ignatius: I really don't think you could shock us
11:46 | Andrew Ryan: but what is the most favorite
11:47 | (New member) WizJR W: more than handholding?
11:48 | (Member (1 month)) Robbie TR: Talk about your hair 
11:52 | Andrew Ryan: しりたああああいい
11:53 | kurokamitenshi: say it
11:55 | (Member (1 month)) Transcendental_ColonThree: Bea fetishes chart when?
11:56 | SpaceTalon: THIS IS THE TOPIC DO NOT DERAIL 
11:58 | Woop Woop: its ok to say it beatani
11:59 | (Member (1 month)) Canna: Ryona? 
12:00 | (New member) No Body: that's OK but if it's some sick stuff like nose licking I'm gonna throw up:_pain:
12:00 | (New member) Ark K.: you hate ntr, right?
12:02 | TheHighestNativeGod: I'm curious...
12:02 | Woop Woop: we are all together here
12:05 | madvideogamer: hentai bear
12:08 | (Member (1 month)) anonEDM: consensual handholding for the purpose of plutonic love
12:08 | (Member (1 month)) Andrew: uoooooohhhh 
12:08 | TheHighestNativeGod: Dads won't judge
12:09 | (Member (1 month)) Cave Johnson: SAY IT
12:09 | (Member (1 month)) The Flesh Is Weak: vanilla probably
12:11 | Mizuki Arisu: calling omorashi
12:11 | stuffed idiot: she actually loves ntr...
12:11 | (Member (1 month)) LapanNaxela: Bea's fetish is installing Linux
12:12 | (New member) Pine: its ear licking right?
12:15 | Sheep: tease
